conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1909770568200863803,2025-04-09T00:49:19.000Z,1538,"Gue itu kaget waktu diundang bukber, soalnya lagi getol2nya kritik Pak @aniesbaswedan mulai dari soal Ormas hingga RUU TNI. Ini ketawa2 pun gara2 gue ngomong “Saya akan tetap mengkritisi Bapak ya,” yang dijawab “Hahaha iya dong, ini yg membedakan kita dengan yg lain.” https://t.co/Y54uRuBag3",1909770568200863803.1,https://pbs.twimg.com/media/GoDeMntbwAES6_R.jpg,Unnamed: 6,in,Unnamed: 8,3,12,153,https://x.com/kozirama/status/1909770568200863803,53360203,kozirama,1908855321931796780,2025-04-06T12:12:28.000Z,7624,"Wawancara dengan 6 pemimpin redaksi, yg dimoderatori host dari TVRI ini akan tayang besok sore di media masing2. Wawancara berlangsung 3 jam. Full on the record. Soal demonstrasi, RUU TNI, RUU Polri sampai kepala babi dan komunikasi pemerintah ditanyakan. Termasuk Tarif Trump😊",1908855321931796780.1,Unnamed: 5,411,366,1346,https://x.com/unilubis/status/1908855321931796780,85087815,unilubis,1912767564188418476,2025-04-17T07:18:19.000Z,11570,Presiden Prabowo Subianto telah resmi mengesahkan RUU TNI sejak sebelum lebaran 2025. Hal ini dikonfirmasi oleh Menteri Sekretaris Negara Prasetyo Hadi. https://t.co/Aa7wQEaPAP,1912767564188418476.1,https://pbs.twimg.com/media/GouC7OEacAIoTQ_.jpg,1170,739,2582,https://x.com/asumsico/status/1912767564188418476,829366551446818816,asumsico
1.9039180326423022e+18,2025-03-23T21:13:26.000Z,17.0,Yang tolak RUU TNI kumpul mutualan!!!,1.9039180326423022e+18,,,in,,0.0,6.0,0.0,https://x.com/septacepot46/status/1903918032642302157,1.8886175144791122e+18,septacepot46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039306371549555e+18,2025-03-23T22:03:31.000Z,4.0,"RUU TNI sebage sebuah rudal, sengaja dijatuhkan ketika sedang banyak terungkapnya ratusan kasus korupsi dengan nilai mega triliun, negara ini memang paling pintar dalam urusan pengalihan isu",1.9039306371549555e+18,,,in,,0.0,1.0,0.0,https://x.com/guntur_skacore/status/1903930637154955574,8.989022253757317e+17,guntur_skacore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9039569143688934e+18,2025-03-23T23:47:56.000Z,0.0,"Temen gue yg TNI ini update menolak RUU TNI = PKI, terus menurut lu gue PKI? Kalau PKI bapak gue juga gabakal jadi TNI dong seharusnya. 
Lagian mereka berisik gadapet apa-apa, yg nikmatin mah jendralnya doang pea",1.9039569143688934e+18,,,in,,0.0,0.0,0.0,https://x.com/chanuyay__/status/1903956914368893360,133565588.0,chanuyay__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.903886717339439e+18,2025-03-23T19:09:00.000Z,2.0,"Presiden RI @prabowo atau Jokowi? Rakyat berharap Presiden tidak dibawah pengaruh Jokowi,  memalukan. 

RUU TNI Maunya Jokowi, Bukan Prabowo https://t.co/wp2IkPqYIi",1.903886717339439e+18,,,in,,0.0,0.0,1.0,https://x.com/yangmi3prnew/status/1903886717339439217,1.531957384213844e+18,yangmi3prnew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038668146707133e+18,2025-03-23T17:49:55.000Z,0.0,"Selamat Ginting: ""RUU Polri Berbahaya Jadi Lembaga Superbody. Darurat RUU Polri &amp; RUU TNI."" 
https://t.co/NBy6gH1o65",1.9038668146707133e+18,,,in,,0.0,0.0,0.0,https://x.com/masaryaduta/status/1903866814670713343,1248726242.0,masaryaduta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9038893923869128e+18,2025-03-23T19:19:38.000Z,1.0,"Gamau komen tentang RUU TNI tapi udah keterlaluan banget. Mulai dari ibu - ibu sampai ke anak - anak yang mungkin mereka gatau apa - apa.🥺

#TolakRevisiUUTNI 
#TolakDwifungsiABRI 
#TolakDwifungsiTNI #TolakRevisiRUUTNI",1.9038893923869128e+18,,,in,,0.0,0.0,0.0,https://x.com/sekarmaharanpw/status/1903889392386912736,1.6774709770249994e+18,sekarmaharanpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9077878108007997e+18,2025-04-03T13:30:33.000Z,670.0,"Kenapa cuma TNI aja yg di larang dan juga ada di dalam pemerintahan tapi warcok para perwira nya semua mnduduki posisi strategis di kementrian.
banyak org saat ini ribut2 soal RUU TNI tapi mreka tdak mnyenggol dan mnyoal tentang RUU POLRI, ada apa? kenapa? https://t.co/xBpBvUvEgn",1.9077878108007997e+18,https://pbs.twimg.com/ext_tw_video_thumb/1907787728558899200/pu/img/wVLVQLpEIuqXceaI.jpg,,in,,12.0,56.0,379.0,https://x.com/Boediantar4/status/1907787810800799773,1.3837507275756052e+18,Boediantar4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9077034625378675e+18,2025-04-03T07:55:23.000Z,419.0,"Dari mulai RUU KPK pada 2019 hingga RUU TNI pada 2025, penyusunan hukum dan perundang-undangan Indonesia punya persoalan serius dalam proses penyusunannya. Banyak produk legislasi dalam lima tahun terakhir dilangsungkan relatif tertutup, minim partisipasi publik, dan mengandung https://t.co/fiuueQlnmb",1.9077034625378675e+18,https://pbs.twimg.com/amplify_video_thumb/1907702768879665152/img/lAYAKef2Q1x4rnRR.jpg,,in,,6.0,26.0,106.0,https://x.com/MataNajwa/status/1907703462537867626,72274016.0,MataNajwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9077359690312218e+18,2025-04-03T10:04:33.000Z,153.0,"Pasca RUU TNI, Kejaksaan Unjuk Gigi. 

Cak Islah : Kejaksaan sedang mencari nama agar mendapatkan simpati publik supaya mendapat dukungan untuk mengGOLkan RUUnya

Sumber : https://t.co/roiERSv8ZL https://t.co/Wl6pCaFB1w",1.9077359690312218e+18,https://pbs.twimg.com/amplify_video_thumb/1907733205496770562/img/M8nVEd6IvsE6Gn3y.jpg,,in,,2.0,3.0,73.0,https://x.com/KangManto123/status/1907735969031221694,9.47632364003369e+17,KangManto123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.907745409621222e+18,2025-04-03T10:42:04.000Z,108.0,"Haii dalam rangka ituh (mumpung inget), aku mau ngadain ga ML kecil2an 

- 3 WDP Slow (Proses 2-3 Hari) 
[Disponsori oleh @ongshopn]

Syarat:
- RT Like twt ini (bukan twt yang di qrt ya)
- komen bebas &amp; naikkan Tagar tolak ruu tni (pilihan tagar dibawah)",1.907745409621222e+18,,,in,,1.0,122.0,103.0,https://x.com/trmmyrd/status/1907745409621221878,1.5126226023383122e+18,trmmyrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9076831508196355e+18,2025-04-03T06:34:40.000Z,332.0,"Setelah RUU TNI disahkan dengan sangat mulus melalui akal bulus,menyusul RUU POLRI,KEJAKSAAN &amp; KUHAP akan jadi agenda berikutnya. Kawal terus!
---
Nyesek Pramugari Tsunami 
Saling Kerja Bandung Perang 
#TolakRUUKejaksaan
#TolakRUUPolri 
#TolakUUTNI https://t.co/k0YscOBYb2",1.9076831508196355e+18,https://pbs.twimg.com/ext_tw_video_thumb/1907683107832262656/pu/img/wFgNuO0W6_NzYCsN.jpg,,in,,7.0,3.0,298.0,https://x.com/_riverheaven/status/1907683150819635346,9.753893357751992e+17,_riverheaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
